id,bangla_question,english_question
549,15 kg ভরের বস্তুর গতিশক্তি 450 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 15 kg is 450 J?
550,বয়েলের সূত্র কী ব্যাখ্যা করে?,What does Boyle's law explain?
551,আইনস্টাইনের স্থির ভর-শক্তি সমীকরণ হলো–,Einstein's rest mass-energy equation is–
552,140 m উচ্চতা থেকে একটি বস্তু পড়লে ভূমিতে পৌঁছাতে কত সময় লাগবে? (g = 10 m/s²),How much time will it take for an object to reach the ground when falling from a height of 140 m? (g = 10 m/s²)
553,76 g NaOH এবং 90 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 76% ফলন পেলে প্রকৃত ফলন কত?,76 g NaOH and 90 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 76% yield is obtained?
554,"115 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 115 g NaCl? (Na=23, Cl=35.5)"
555,একটি ফেরোচৌম্বক পদার্থের ক্ষেত্রে -,In the case of a ferromagnetic substance -
556,একটি ব্যাংকে 94977 টাকা 7 বছরের জন্য বার্ষিক 6% হারে সরল সুদ ও বছরে 4 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 94977 taka is deposited in a bank for 7 years at an annual rate of 6% for both simple interest and compound interest compounded 4 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
557,একটি দ্বিঘাত সমীকরণ 1x² + -21x + 110 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -21x + 110 = 0 and verify the sum and product of the roots.
558,67 kg ভরের একটি গাড়ি 48 m/s বেগে চলছে এবং 6 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 67 kg is moving at 48 m/s velocity and decreases to 6 m/s. What is the change in momentum and change in kinetic energy?
559,একটি বৃত্তের ব্যাসার্ধ 9 সেমি এবং একটি বর্গের বাহু 26 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 9 cm and the side of a square is 26 cm. Determine the ratio of areas and perimeters of both.
560,একটি 23 Ω রোধের মধ্য দিয়ে 23 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 23 Ω at 23 V potential and how much power will be dissipated?
561,দুটি এক-পরমাণুক আদর্শ গ্যাস পাত্রে সমান তাপমাত্রায় আছে। A গ্যাসে ভর দ্বিগুণ এবং B গ্যাসে আয়তন দ্বিগুণ হলে Pₐ/Pᵦ কত হবে?,Two monatomic ideal gases are in containers at the same temperature. If gas A has double the mass and gas B has double the volume; what will be Pₐ/Pᵦ?
562,একটি কণার উপর F ⃗ = (10i ̂ + 10j ̂ + 10k ̂) N বল প্রয়োগ করলে কণাটির সরণ হয় r ⃗ = (2i ̂ + 2j ̂ – 2k ̂) m। বল কর্তৃক সম্পাদিত কাজ কত হবে?,If a force F ⃗ = (10i ̂ + 10j ̂ + 10k ̂) N is applied on a particle; its displacement is r ⃗ = (2i ̂ + 2j ̂ – 2k ̂) m. What will be the work done by the force?
563,একটি দ্বিঘাত সমীকরণ 2x² + -2x + -180 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 2x² + -2x + -180 = 0 and verify the sum and product of the roots.
564,কোন স্থানে ভূ-চৌম্বকক্ষেত্রের মান 22.5 μT এবং বিনতি 30° এ স্থানে ভূ-চৌম্বকক্ষেত্রের অনুপ্রস্থ উপাংশের মান কত?,At a certain place; the value of the Earth's magnetic field is 22.5 μT and the dip is 30°. What is the value of the horizontal component of the Earth's magnetic field at that place?
565,65 kg ভরের একটি গাড়ি 61 m/s বেগে চলছে এবং 6 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 65 kg is moving at 61 m/s velocity and decreases to 6 m/s. What is the change in momentum and change in kinetic energy?
566,পর্যায় সারণির 9 নং গ্রুপের মৌলের যোজ্যতা ইলেকট্রন কতটি?,How many valence electrons do elements of group 9 in the periodic table have?
567,34 g NaOH এবং 46 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 91% ফলন পেলে প্রকৃত ফলন কত?,34 g NaOH and 46 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 91% yield is obtained?
568,একটি বস্তু 50 m/s বেগে চলছে। 8 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 50 m/s velocity. In how much time will it stop with a deceleration of 8 m/s²?
569,10N এবং 10N মানের দুটি বল কোন বিন্দুতে একসাথে কত কোণে কাজকরলে লব্ধির মান 10N হবে?,If two forces of magnitude 10N and 10N act on a point; at what angle must they act for the resultant to have a magnitude of 10N?
570,একটি দ্রব্য 741 টাকায় কিনে 20% লাভে বিক্রয় করা হলো। বিক্রয় মূল্য এবং লাভের পরিমাণ কত?,An item was bought for 741 taka and sold at 20% profit. What is the selling price and profit amount?
571,একটি ব্যাংকে 273493 টাকা 10 বছরের জন্য বার্ষিক 11% হারে সরল সুদ ও বছরে 4 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 273493 taka is deposited in a bank for 10 years at an annual rate of 11% for both simple interest and compound interest compounded 4 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
572,চৌম্বক বল সর্বাধিক হয় যখন কোন শর্ত পূরণ হয়?,Under which condition is the magnetic force maximum?
573,56 kg ভরের একটি গাড়ি 68 m/s বেগে চলছে এবং 13 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 56 kg is moving at 68 m/s velocity and decreases to 13 m/s. What is the change in momentum and change in kinetic energy?
574,কোনটি ভেক্টর রাশি?,Which is a vector quantity?
575,30 kg ভরের বস্তুর গতিশক্তি 800 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 30 kg is 800 J?
576,চোখের লেন্সের ক্ষমতা কত ডায়োপ্টার?,What is the power of the eye's lens in diopters?
577,একটি গাড়ি 20 m/s বেগে 10 সেকেন্ড চলে। এটি কত দূরত্ব অতিক্রম করবে?,A car runs for 10 seconds at a speed of 20 m/s. What distance will it cover?
578,নিচের কোন বৈশিষ্ট্যের দ্বারা আড় তরঙ্গ চেনা যাবে?,By which of the following characteristics can a transverse wave be identified?
579,দুটি ভেক্টর A ⃗ এবং B ⃗ -এর যোগফল তাদের পার্থক্যের উপর লম্ব। নিচের কোন বিন্যাসটি অবশ্যই সত্য?,The sum of two vectors A ⃗ and B ⃗ is perpendicular to their difference. Which of the following conditions must be true?
580,একটি দ্বিঘাত সমীকরণ 3x² + 66x + 363 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 3x² + 66x + 363 = 0 and verify the sum and product of the roots.
581,একটি কণার উপর 10 N বল 60° কোণে ক্রিয়া করে। Y-অক্ষে বলের উপাংশ কত?,A force of 10 N acts on a particle at an angle of 60°. What is the component of the force on the Y-axis?
582,একটি সমান্তরাল পাত ধারকের দুই প্লেটের মাঝে ডাই ইলেকট্রিক পদার্থ ঢুকালে তার সঞ্চিত শক্তি পাচগুণ বৃদ্ধি পায় । ঐ পদার্থের ডাই ইলেকট্রিক ধ্রুবকের মান-,When a dielectric substance is inserted between the two plates of a parallel plate capacitor; its stored energy increases five times; The value of the dielectric constant of that substance is-
583,57 kg ভরের একটি গাড়ি 36 m/s বেগে চলছে এবং 6 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 57 kg is moving at 36 m/s velocity and decreases to 6 m/s. What is the change in momentum and change in kinetic energy?
584,একটি সমকোণী ত্রিভুজের ভূমি 4 cm এবং লম্ব 10 cm। কর্ণের দৈর্ঘ্য এবং ক্ষেত্রফল নির্ণয় করো।,A right triangle has base 4 cm and height 10 cm. Determine the length of hypotenuse and area.
585,একটি 1401 kg ভরের গাড়ি 23 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 5.6 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 3 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1401 kg is moving at 23 m/s velocity. The driver applies brakes creating a deceleration of 5.6 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 3 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
586,তেরা কোনটি?,Which is tera?
587,নিচের কোন গেইটটি AND এবং NOT গেইটের সমন্বয়ে তৈরি?,Which of the following gates is made from a combination of AND and NOT gates?
588,32 kg ভরের একটি গাড়ি 51 m/s বেগে চলছে এবং 7 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 32 kg is moving at 51 m/s velocity and decreases to 7 m/s. What is the change in momentum and change in kinetic energy?
589,একটি সমান্তর অনুক্রমের প্রথম পদ 37 এবং সাধারণ অন্তর 2। 15 তম পদ এবং প্রথম 15 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 37 and common difference is 2. Determine the 15th term and the sum of first 15 terms.
590,একটি সমান্তর অনুক্রমের প্রথম পদ 47 এবং সাধারণ অন্তর 3। 26 তম পদ এবং প্রথম 26 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 47 and common difference is 3. Determine the 26th term and the sum of first 26 terms.
591,ভেক্টর কোনটি?,Which is a vector?
592,রেডিওঅ্যাকটিভ ক্ষয়ের হাফ-লাইফ কী?,What is the half-life of radioactive decay?
593,একটি ব্যাংকে 116854 টাকা 4 বছরের জন্য বার্ষিক 8% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 116854 taka is deposited in a bank for 4 years at an annual rate of 8% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
594,একটি বাড়ীর মেইন মিটারে 5 amp - 22 volt চিহ্নিত করা আছে। ঐ বাড়িতে নিরাপদভাবে 100watts এর ক'টি বাল্ব ব্যবহার করা যাবে?,The main meter of a house is marked 5 amp - 22 volt. How many 100-watt bulbs can be used safely in that house?
595,একটি বস্তুর জড়তার ভ্রামক 10 kgm2 | কত মানের টর্ক প্রয়োগ করলে বস্তুটিতে 10 rads−2 মানের কৌণিক ত্বরণ সৃষ্টি হবে?,The moment of inertia of an object is 10 kgm2. What amount of torque must be applied to create an angular acceleration of 10 radsâˆ’2 in the object?
596,একটি দ্বিঘাত সমীকরণ 1x² + -4x + -32 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -4x + -32 = 0 and verify the sum and product of the roots.
597,একটি বস্তু 40 m/s বেগে চলছে। 5 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 40 m/s velocity. In how much time will it stop with a deceleration of 5 m/s²?
598,73 g NaOH এবং 47 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 74% ফলন পেলে প্রকৃত ফলন কত?,73 g NaOH and 47 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 74% yield is obtained?
599,একটি p-n জাংশনের নিঃশেষিত অঞ্চলে থাকে-,A p-n junction's depletion region contains-
600,একটি বস্তুর ভর 50 kg এবং বেগ 10 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 50 kg and velocity 10 m/s?
601,পর্যবেক্ষকের কারণে পাঠে যে ত্রুটি আসে তাকে বলা হয়-,The error in a reading that occurs due to the observer is called-
602,24 g NaOH এবং 13 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 78% ফলন পেলে প্রকৃত ফলন কত?,24 g NaOH and 13 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 78% yield is obtained?
603,50 N বল প্রয়োগে একটি বস্তু 15 m সরলে কৃত কাজ কত?,What is the work done when an object moves 15 m by applying a force of 50 N?
604,29 kg ভরের একটি গাড়ি 45 m/s বেগে চলছে এবং 12 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 29 kg is moving at 45 m/s velocity and decreases to 12 m/s. What is the change in momentum and change in kinetic energy?
605,একটি ব্যাংকে 201855 টাকা 9 বছরের জন্য বার্ষিক 6% হারে সরল সুদ ও বছরে 12 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 201855 taka is deposited in a bank for 9 years at an annual rate of 6% for both simple interest and compound interest compounded 12 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
606,একটি গতিশীল কণার কোন সরলরেখায় t সময়ে অতিক্রান্ত দূরত্ব s = 63t - 6t2 - t3 দ্বারা প্রকাশিত হয়,"The distance s traveled in time t by a moving particle in a straight line is expressed by s = 63t - 6t^2 - t^3. At t = 3 seconds, the velocity and distance of the particle are"
607,একটি সমান্তর অনুক্রমের প্রথম পদ 41 এবং সাধারণ অন্তর 3। 27 তম পদ এবং প্রথম 27 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 41 and common difference is 3. Determine the 27th term and the sum of first 27 terms.
608,একটি দ্বিঘাত সমীকরণ 5x² + 5x + -660 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 5x² + 5x + -660 = 0 and verify the sum and product of the roots.
609,একটি বস্তুর ভর 15 kg এবং বেগ 15 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 15 kg and velocity 15 m/s?
610,"110 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 110 g NaCl? (Na=23, Cl=35.5)"
611,একটি 1476 kg ভরের গাড়ি 24 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 4.8 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 6 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1476 kg is moving at 24 m/s velocity. The driver applies brakes creating a deceleration of 4.8 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 6 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
612,R ⃗ = 4i ̂ – 6j ̂ + 12k ̂ হলে এর সমান্তরাল একক ভেক্টর কোনটি?,If R ⃗ = 4i ̂ – 6j ̂ + 12k ̂; which is the unit vector parallel to it?
613,20 kg ভরের বস্তুর গতিশক্তি 100 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 20 kg is 100 J?
614,একটি 220V – 44W বাতির মধ্য দিয়ে প্রতি সেকেন্ডে কত তড়িৎ প্রবাহিত হয়?,How much current flows through a 220V – 44W bulb?
615,পানিতে আলোর বেগ 2.25×10⁸ m/s হলে প্রতিসরণাঙ্ক কত?,If the speed of light in water is 2.25×10⁸ m/s; what is its refractive index?
616,একটি পানির ট্যাঙ্ক থেকে পানি ১৫০ মিটার উচ্চতা থেকে পড়ে। গতিবেগ কত? (g = ৯.৮ m/s²),Water falls from a water tank from a height of 150 meters; What is the velocity? (g = 9.8 m/s²)
617,একটি দ্বিঘাত সমীকরণ 4x² + 4x + -168 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 4x² + 4x + -168 = 0 and verify the sum and product of the roots.
618,71 kg ভরের একটি গাড়ি 49 m/s বেগে চলছে এবং 20 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 71 kg is moving at 49 m/s velocity and decreases to 20 m/s. What is the change in momentum and change in kinetic energy?
619,একটি 985 kg ভরের গাড়ি 20 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 5.7 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 3 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 985 kg is moving at 20 m/s velocity. The driver applies brakes creating a deceleration of 5.7 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 3 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
620,কম্পটন প্রভাব কী ব্যাখ্যা করে?,What does the Compton effect explain?
621,"62 g NaOH কে 0.7 L পানিতে দ্রবীভূত করলে মোলারিটি কত? (Na=23, O=16, H=1)","What is the molarity when 62 g NaOH is dissolved in 0.7 L water? (Na=23, O=16, H=1)"
622,একটি সমান্তর অনুক্রমের প্রথম পদ 36 এবং সাধারণ অন্তর 5। 19 তম পদ এবং প্রথম 19 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 36 and common difference is 5. Determine the 19th term and the sum of first 19 terms.
623,একটি 12 Ω রোধের মধ্য দিয়ে 20 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 12 Ω at 20 V potential and how much power will be dissipated?
624,অক্সিজেনের ত্রৈধবিন্দু 54.3584 অর্থ ?,What does the trivalent point of oxygen 54.3584 mean?
625,একটি গাড়ি ২৫০ সেকেন্ডে ৫০০ মিটার দূরত্ব অতিক্রম করে। গড় বেগ কত?,A car covers a distance of 500 meters in 250 seconds; What is the average velocity?
626,একটি দ্বিঘাত সমীকরণ 1x² + -2x + 0 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -2x + 0 = 0 and verify the sum and product of the roots.
627,একটি ট্রেন ঘন্টায় 36 km বেগে যাচ্ছে। 500m এর মাঝে একে থামাতে হলে কত মন্দন প্রয়োগ করতে হবে?,A train is traveling at a speed of 36 km per hour. What deceleration must be applied to stop it within 500m?
628,43 g NaOH এবং 58 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 90% ফলন পেলে প্রকৃত ফলন কত?,43 g NaOH and 58 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 90% yield is obtained?
629,20 kg ভরের বস্তুর গতিশক্তি 300 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 20 kg is 300 J?
630,পরিবর্তী প্রবাহের বর্গমূলীয় গড়মান শীর্ষমানের কত গুণ?,The root mean square value of an alternating current is how many times the peak value?
631,"একটি কণার উপর →F=(−2ˆi+3ˆj+4ˆk)NF→=(-2i^+3j^+4k^)N বল প্রয়োগের ফলে Q(3,-4,-2) বিন্দু থেকে P(-2,3,5) বিন্দুতে স্থানান্তরিত হয়। বল কর্তৃক সম্পাদিত কাজের পরিমাণ কত?","A particle is displaced from point Q(3,-4,-2) to point P(-2,3,5) by applying a force →F=(−2ˆi+3ˆj+4ˆk)N; What is the amount of work done by the force?"
632,একটি সমান্তর অনুক্রমের প্রথম পদ 9 এবং সাধারণ অন্তর 7। 20 তম পদ এবং প্রথম 20 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 9 and common difference is 7. Determine the 20th term and the sum of first 20 terms.
633,80 kg ভরের একটি গাড়ি 43 m/s বেগে চলছে এবং 11 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 80 kg is moving at 43 m/s velocity and decreases to 11 m/s. What is the change in momentum and change in kinetic energy?
634,একটি গাড়ি ৩৩০ সেকেন্ডে ৬৬০ মিটার দূরত্ব অতিক্রম করে। গড় বেগ কত?,A car covers a distance of 660 meters in 330 seconds. What is the average velocity?
635,24 g NaOH এবং 13 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 80% ফলন পেলে প্রকৃত ফলন কত?,24 g NaOH and 13 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 80% yield is obtained?
636,একটি ব্যাংকে 158526 টাকা 6 বছরের জন্য বার্ষিক 6% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 158526 taka is deposited in a bank for 6 years at an annual rate of 6% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
637,A ⃗ + B ⃗ + C ⃗ = 0 ভেক্টরদ্বয়ের সম্পর্কটিকে কোন চিত্রটি প্রকাশ করে?,Which figure represents the relationship between the vectors A ⃗ + B ⃗ + C ⃗ = 0?
638,একটি সমান্তর অনুক্রমের প্রথম পদ 45 এবং সাধারণ অন্তর 13। 19 তম পদ এবং প্রথম 19 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 45 and common difference is 13. Determine the 19th term and the sum of first 19 terms.
639,`3hati-4hatj+12hatk`ভেক্টরটির মান কত?,What is the magnitude of the vector `3hati-4hatj+12hatk`?
640,একটি দ্বিঘাত সমীকরণ 2x² + 4x + -126 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 2x² + 4x + -126 = 0 and verify the sum and product of the roots.
641,একটি বৃত্তের ব্যাসার্ধ 6 সেমি এবং একটি বর্গের বাহু 21 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 6 cm and the side of a square is 21 cm. Determine the ratio of areas and perimeters of both.
642,কোনো কণার উপর `2hati+5hatj+3hatk` N বল প্রয়োগ করায় কণাটির`5hati-3hatj+3hatk` m সরণ হয়। সম্পাদিত কাজের পরিমাণ কত?,When a force of `2hati+5hatj+3hatk` N is applied to a particle; its displacement is `5hati-3hatj+3hatk` m. What is the amount of work done?
643,একটি গাড়ির ভর 1000 kg হলে 2 m/s² ত্বরণে বল কত?,If a car's mass is 1000 kg; what is the force at an acceleration of 2 m/s²
644,"23 g NaOH কে 0.6 L পানিতে দ্রবীভূত করলে মোলারিটি কত? (Na=23, O=16, H=1)","What is the molarity when 23 g NaOH is dissolved in 0.6 L water? (Na=23, O=16, H=1)"
645,তিনটি ধারকের সমান্তরাল সংযোগে মোট ধারকত্ব 4 μF। দুটি ধারকের মান যথাক্রমে 2 μF ও 3 μF হলে তৃতীয়টির মান কত?,The total capacitance of three capacitors in parallel is 4 μF. If two of the capacitors are 2 μF and 3 μF respectively; what is the value of the third?
646,একটি দ্বিঘাত সমীকরণ 3x² + -18x + -120 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 3x² + -18x + -120 = 0 and verify the sum and product of the roots.
647,একটি রেখা চালক ৬ অ্যাম্পিয়ার ধারা বহন করে। চালকের দৈর্ঘ্য ৪ মিটার এবং চৌম্বক ক্ষেত্র ১ টেসলা। বল কত?,A linear conductor carries a 6-ampere current; its length is 4 meters and the magnetic field is 1 tesla. What is the force?
648,অর্ধপরিবাহী ডায়োডকে কি বলা হয়?,What is a semiconductor diode called?
649,একটি রাসায়নিক বিক্রিয়ায় 72 g Al এবং 31 g S বিক্রিয়া করে। (ক) লিমিটিং রিঅ্যাক্ট্যান্ট কোনটি? (খ) আদর্শ ফলন কত গ্রাম? (গ) 78% ফলন পেলে প্রকৃত ফলন কত? (ঘ) অতিরিক্ত রিঅ্যাক্ট্যান্ট কত মোল অবশিষ্ট থাকবে?,"In a chemical reaction, 72 g Al and 31 g S react. (a) Which is the limiting reactant? (b) What is the theoretical yield in grams? (c) What is the actual yield if 78% yield is obtained? (d) How many moles of excess reactant will remain?"
650,একটি আদর্শ গ্যাসে pV = RT কোন সূত্র?,For an ideal gas; what law is pV = RT?
651,"145 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 145 g NaCl? (Na=23, Cl=35.5)"
652,"40 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 40 g NaCl? (Na=23, Cl=35.5)"
653,একটি গ্যাসের চাপ ২ x ১০^৫ পাস্কাল এবং আয়তন ০.০৫ m³। এর কাজ কত যদি আয়তন দ্বিগুণ হয়?,The pressure of a gas is 2 x 10^5 Pascals and its volume is 0.05 m³. How much work is done if the volume is doubled?
654,একটি দ্বিঘাত সমীকরণ 1x² + -3x + -54 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -3x + -54 = 0 and verify the sum and product of the roots.
655,53 g NaOH এবং 39 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 74% ফলন পেলে প্রকৃত ফলন কত?,53 g NaOH and 39 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 74% yield is obtained?
656,একটি পানির ট্যাঙ্ক থেকে পানি ৩০ মিটার উচ্চতা থেকে পড়ে। গতিবেগ কত?,Water falls from a water tank from a height of 30 meters. What is the velocity?
657,একটি বস্তু ৬০ মিটার উচ্চতা হতে পড়ে (g = ১০ m/s²)। সর্বোচ্চ গতি কত?,An object falls from a height of 60 meters (g = 10 m/s²). What is the maximum speed?
658,কিলোওয়াট ঘন্টার সাথে জুলের সম্পর্ক নিচের কোনটি?,Which of the following is the relationship between kilowatt-hour and joule?
